"family","genus","species","binomial","type"
"Nymphalidae","Brenthis","daphne","Brenthis_daphne",0
"Nymphalidae","Brenthis","ino","Brenthis_ino",0
"Nymphalidae","Brenthis","hecate","Brenthis_hecate",0
"Nymphalidae","Argynnis","paphia","Argynnis_paphia",0
"Nymphalidae","Argynnis","anadyomene","Argynnis_anadyomene",1
"Nymphalidae","Damora","sagana","Damora_sagana",1
"Nymphalidae","Issoria","hanningtoni","Issoria_hanningtoni",1
"Nymphalidae","Issoria","smaragdifera","Issoria_smaragdifera",1
"Nymphalidae","Issoria","lathonia","Issoria_lathonia",0
"Nymphalidae","Speyeria","atlantis","Speyeria_atlantis",1
"Nymphalidae","Ideopsis","similis","Ideopsis_similis",0
"Nymphalidae","Euploea","midamus","Euploea_midamus",0
"Nymphalidae","Vindula","erota","Vindula_erota",1
"Nymphalidae","Argyronome","laodice","Argyronome_laodice",1
"Nymphalidae","Argyreus","hyperbius","Argyreus_hyperbius",0
"Nymphalidae","Pardopsis","punctatissima","Pardopsis_punctatissima",0
"Nymphalidae","Euptoieta","claudia","Euptoieta_claudia",0
"Nymphalidae","Euptoieta","hegesia","Euptoieta_hegesia",0
"Nymphalidae","Phalanta","phalantha","Phalanta_phalantha",0
"Nymphalidae","Vagrans","egista","Vagrans_egista",0
"Nymphalidae","Cupha","erymanthis","Cupha_erymanthis",0
"Nymphalidae","Cupha","prosope","Cupha_prosope",0
"Nymphalidae","Cirrochroa","emalea","Cirrochroa_emalea",1
"Nymphalidae","Cirrochroa","tyche","Cirrochroa_tyche",1
"Nymphalidae","Lachnoptera","anticlia","Lachnoptera_anticlia",0
"Nymphalidae","Vindula","arsinoe","Vindula_arsinoe",1
"Nymphalidae","Basilarchia","arthemis","Basilarchia_arthemis",0
"Nymphalidae","Limenitis","populi","Limenitis_populi",0
"Nymphalidae","Adelpha","cytherea","Adelpha_cytherea",1
"Nymphalidae","Limenitis","moltrechti","Limenitis_moltrechti",1
"Nymphalidae","Phaedyma","columella","Phaedyma_columella",0
"Nymphalidae","Limenitis","helmanni","Limenitis_helmanni",1
"Nymphalidae","Limenitis","camilla","Limenitis_camilla",1
"Nymphalidae","Limenitis","amphyssa","Limenitis_amphyssa",0
"Nymphalidae","Adelpha","bredowii","Adelpha_bredowii",1
"Nymphalidae","Athyma","ranga","Athyma_ranga",1
